Removed Pin From Net: NetName=GND Pin=J1-2
Removed Pin From Net: NetName=D11/MOSI Pin=J1-3
Removed Pin From Net: NetName=5V Pin=J1-5
Removed Pin From Net: NetName=D6 Pin=J1-6
Removed Pin From Net: NetName=D8 Pin=J1-7
Removed Pin From Net: NetName=D9/CS1 Pin=J1-8
Removed Pin From Net: NetName=D12/MISO Pin=J1-9
Removed Pin From Net: NetName=D13/SCK Pin=J1-10
Change Component Comment : Designator=J1 Old Comment=39281103 New Comment=Hazard
Change component parameters: Designator = "J1" ("J1"); Footprint = "CON_39281103"; UniqueID = "\XTNCMFLZ\AEWSVQTR" ("\XTNCMFLZ\AEWSVQTR")
Add component (AddParameter): Name = "Device Class L2"; Value = "Headers and Wire Housings"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CONN HEADER VERT 4POS 4.2MM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.molex.com/pdm_docs/sd/039281043_sd.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "13.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "0039281043"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Contacts"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Rows"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/39-28-1043-molex-7613"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "4.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-40°C to +105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "600V"; VariantName = "[No Variations]"
Added Component: Designator=J9(FP-0039281043-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.molex.com/webdocs/datasheets/pdf/en-us/0039281043_PCB_HEADERS.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "9A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Headers and Wire Housings"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CONN HEADER VERT 4POS 4.2MM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.molex.com/pdm_docs/sd/039281043_sd.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "13.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "0039281043"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Contacts"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Rows"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/39-28-1043-molex-7613"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "4.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-40°C to +105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "600V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=D11/MOSI Pin=J1-2
Added Pin To Net: NetName=D6 Pin=J1-3
Added Pin To Net: NetName=D8 Pin=J1-4
Added Pin To Net: NetName=D4 Pin=H6-2
Added Pin To Net: NetName=D4 Pin=J9-3
Added Net: Name=D4
